Age,Value Ratio
2024-06-11 23:10:23,1.0004235536713395
2024-06-11 20:40:59,1.0004874435635878
2024-06-11 14:16:23,1.0006770849029614
2024-06-10 20:05:59,1.000574047002378
2024-06-10 18:01:47,0.9994570943574568
2024-06-10 16:02:59,1.0002297283992965
2024-06-10 15:38:23,0.9994799086535135
2024-06-10 15:05:23,0.9996925055630164
2024-06-10 4:34:47,1.000681743416177
2024-06-09 20:53:35,1.0016951019566507
2024-06-09 20:53:35,0.1973937705652102
2024-06-09 20:53:35,1.001377735840902
2024-06-08 23:00:23,1.0012731322558306
2024-06-08 19:27:23,1.0004115629769232
