Age,Value Ratio
2024-06-12 0:08:23,1.0032165959329875
2024-06-11 23:10:23,1.0034242993583171
2024-06-11 23:10:23,1.0032801793016606
2024-06-11 15:58:35,1.0035687396502204
2024-06-11 15:22:23,1.0037064007422738
2024-06-11 4:42:47,1.0025958096595726
2024-06-11 4:38:11,1.0025159076082115
2024-06-11 4:26:47,1.0024480266976767
2024-06-11 3:23:59,0.41648476465348777
2024-06-11 3:23:59,1.0024075527960816
2024-06-11 3:22:23,1.0023588027395713
2024-06-11 2:15:47,1.002891034140942
2024-06-11 2:14:23,1.0029720153129962
2024-06-11 1:08:59,1.0030384556703371
2024-06-11 0:27:11,1.0030573073808524
2024-06-10 20:38:59,1.0029228427160206
2024-06-10 18:01:47,1.0029195017772818
2024-06-10 16:32:23,1.0027857673787086
2024-06-10 12:39:35,1.0031273550185311
2024-06-10 12:11:11,1.0029971486921179
2024-06-10 12:10:35,1.0029512150330557
2024-06-10 12:07:35,1.0029216768584661
2024-06-10 12:07:11,1.0029145632351804
2024-06-10 12:07:11,0.15254259940563647
2024-06-10 12:07:11,1.0028997132962754
2024-06-10 12:07:11,3.402884937262147
2024-06-10 12:07:11,1.0028830764809158
2024-06-10 12:06:59,1.0028221889906337
2024-06-10 8:16:47,1.0032589638028833
2024-06-10 5:53:47,1.0031886508123775
2024-06-10 5:01:59,1.0120572332734303
2024-06-10 5:01:59,1.0030289409043438
2024-06-10 2:32:47,1.0026171420337655
2024-06-10 1:44:23,1.0030490704458188
2024-06-09 23:46:23,1.0029802231309317
2024-06-09 23:04:11,1.003381063233488
2024-06-09 21:28:59,1.0035140958179414
2024-06-09 20:54:11,1.0034838777932693
2024-06-09 20:34:35,1.0034390174609364
2024-06-09 5:15:59,1.0032673995052956
2024-06-09 4:21:47,1.0031622465871137
2024-06-09 3:19:47,1.0031156436094033
2024-06-08 14:59:23,1.0032417616830405
2024-06-08 14:29:59,1.0031674077820874
2024-06-08 14:22:11,1.0031487726596857
